Net,Depth,Phylum,Class,Order,Genus,Species,OTU,OTU
Manta,100m,Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,4
Manta,100m,Arthropoda,Malacostraca,Decapoda,Medaeops,neglectus,Medaeops_neglectus,1
Manta,100m,Arthropoda,Malacostraca,Euphausiacea,Euphausia,recurva,Euphausia_recurva,4
Manta,100m,Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,1
Manta,100m,Chordata,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,2
Manta,100m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,3
Manta,200m,Arthropoda,Malacostraca,Decapoda,Alpheus,dolerus,Alpheus_dolerus,1
Manta,200m,Arthropoda,Malacostraca,Decapoda,Liocarcinus,corrugatus,Liocarcinus_corrugatus,1
Manta,200m,Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,2
Manta,200m,Arthropoda,Malacostraca,Decapoda,Monomia,gladiator,Monomia_gladiator,4
Manta,200m,Arthropoda,Malacostraca,Decapoda,Xaiva,mcleayi,Xaiva_mcleayi,4
Manta,200m,Arthropoda,Malacostraca,Euphausiacea,Euphausia,brevis,Euphausia_brevis,2
Manta,200m,Arthropoda,Malacostraca,Euphausiacea,Euphausia,recurva,Euphausia_recurva,2
Manta,200m,Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,1
Manta,200m,Chordata,Actinopterygii,Clupeiformes,Etrumeus,sadina,Etrumeus_sadina,1
Manta,200m,Chordata,Actinopterygii,Perciformes,Serranus,knysnaensis,Serranus_knysnaensis,1
Manta,200m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,4
Manta,50m,Arthropoda,Copepoda,Calanoida,Calanus,sinicus,Calanus_sinicus,1
Manta,50m,Arthropoda,Copepoda,Calanoida,Subeucalanus,mucronatus,Subeucalanus_mucronatus,1
Manta,50m,Arthropoda,Copepoda,Calanoida,Subeucalanus,pileatus,Subeucalanus_pileatus,1
Manta,50m,Arthropoda,Copepoda,Calanoida,Temora,turbinata,Temora_turbinata,1
Manta,50m,Arthropoda,Malacostraca,Decapoda,Diogenes,aff. pallacens,Diogenes_aff. pallacens,2
Manta,50m,Arthropoda,Malacostraca,Decapoda,Diogenes,costatus,Diogenes_costatus,1
Manta,50m,Arthropoda,Malacostraca,Decapoda,Galathea,nexa,Galathea_nexa,2
Manta,50m,Arthropoda,Malacostraca,Decapoda,Liocarcinus,corrugatus,Liocarcinus_corrugatus,2
Manta,50m,Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,2
Manta,50m,Arthropoda,Malacostraca,Decapoda,Medaeops,neglectus,Medaeops_neglectus,2
Manta,50m,Arthropoda,Malacostraca,Decapoda,Nikoides,sp.,Nikoides_sp.,1
Manta,50m,Arthropoda,Malacostraca,Decapoda,Xaiva,mcleayi,Xaiva_mcleayi,6
Manta,50m,Arthropoda,Malacostraca,Euphausiacea,Euphausia,recurva,Euphausia_recurva,2
Manta,50m,Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,2
Manta,50m,Chordata,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,1
Manta,50m,Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,2
Ring,100m,Arthropoda,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,1
Ring,100m,Arthropoda,Copepoda,Calanoida,Calanus,sinicus,Calanus_sinicus,1
Ring,100m,Arthropoda,Copepoda,Calanoida,Subeucalanus,mucronatus,Subeucalanus_mucronatus,1
Ring,100m,Arthropoda,Copepoda,Calanoida,Temora,discaudata,Temora_discaudata,2
Ring,100m,Arthropoda,Copepoda,Calanoida,Temora,turbinata,Temora_turbinata,4
Ring,100m,Arthropoda,Copepoda,Cyclopoida,Copilia,mirabilis,Copilia_mirabilis,2
Ring,100m,Arthropoda,Malacostraca,Decapoda,Callichirus,gilchristi,Callichirus_gilchristi,23
Ring,100m,Arthropoda,Malacostraca,Decapoda,Cycloachelous,orbitosinus,Cycloachelous_orbitosinus,1
Ring,100m,Arthropoda,Malacostraca,Decapoda,Diogenes,aff. pallacens,Diogenes_aff. pallacens,1
Ring,100m,Arthropoda,Malacostraca,Decapoda,Diogenes,costatus,Diogenes_costatus,5
Ring,100m,Arthropoda,Malacostraca,Decapoda,Galathea,nexa,Galathea_nexa,2
Ring,100m,Arthropoda,Malacostraca,Decapoda,Lucifer,intermedius,Lucifer_intermedius,8
Ring,100m,Arthropoda,Malacostraca,Decapoda,Marsupenaeus,japonicus,Marsupenaeus_japonicus,3
Ring,100m,Arthropoda,Malacostraca,Decapoda,Matuta,victor,Matuta_victor,1
Ring,100m,Arthropoda,Malacostraca,Decapoda,Medaeops,neglectus,Medaeops_neglectus,4
